Time, lidar measured x, lidar measured y 
9100000,7.54918,-4.13813
9100000,45.364,3.49612
9133333,18.9694,0.0143339
9133333,7.73859,-3.98579
9133333,45.5501,3.64682
9166666,18.7846,-0.308218
9166666,7.87656,-4.30834
9166666,45.6847,3.32263
9200000,18.8134,0.315425
9200000,8.23039,-3.6847
9200000,46.0352,3.94463
9233333,18.4482,0.0821052
9233333,8.19233,-3.91802
9233333,45.9938,3.70967
9266666,18.4833,0.115736
9266666,8.55689,-3.88439
9266666,46.355,3.74167
9300000,18.3194,0.0821957
9300000,8.72465,-3.91793
9300000,46.5195,3.70649
9333333,17.9607,-0.187396
9333333,8.69988,-4.18752
9333333,46.4913,3.43526
9366666,18.1051,-0.0797507
9366666,9.18038,-4.07987
9366666,46.9685,3.54126
9400000,18.0548,0.0961204
9400000,9.46836,-3.904
9400000,47.2531,3.7155
9433333,17.8168,-0.183317
9433333,9.57094,-4.18344
9433333,47.3524,3.43442
9466666,17.5803,0.0491648
9466666,9.67721,-3.95096
9466666,47.4553,3.66526
9500000,17.4034,-0.212821
9500000,9.84532,-4.21295
9500000,47.6201,3.40164
9533333,17.3297,0.275123
9533333,10.1188,-3.725
9533333,47.8902,3.88794
9566666,17.2885,-0.0371214
9566666,10.4271,-4.03725
9566666,48.1952,3.57406
9600000,17.018,0.0139797
9600000,10.5083,-3.98614
9600000,48.273,3.62352
9633333,16.7518,0.000991132
9633333,10.5959,-3.99913
9633333,48.3573,3.60889
9666666,16.842,0.0428318
9666666,11.0423,-3.95729
9666666,48.8004,3.6491
9700000,16.6815,-0.0540673
9700000,11.2401,-4.05419
9700000,48.9948,3.55056
9733333,16.5156,-0.0941932
9733333,11.4348,-4.09432
9733333,49.1862,3.50879
9766666,16.4942,0.0645865
9766666,11.7762,-3.93554
9766666,49.5242,3.66593
9800000,16.2216,-0.0335007
9800000,11.8685,-4.03362
9800000,49.6133,3.56621
9833333,15.9711,-0.0548655
9833333,11.9853,-4.05499
9833333,49.7267,3.5432
9866666,16.0838,-0.131391
9866666,12.4674,-4.13151
9866666,50.2054,3.46504
9900000,15.6455,-0.0135557
9900000,12.4008,-4.01368
9900000,50.1355,3.58124
9933333,15.6706,0.0166265
9933333,12.7998,-3.9835
9933333,50.5312,3.60978
9966666,15.3018,-0.196196
9966666,12.807,-4.19632
9966666,50.535,3.39532
