Time, estimated x, estimated y, estimated v, estimated yaw 
5700000,19.7864,0.0543389,3.47867,0.0780218
5700000,-5.06637,-4.016,-1.44466,-0.0576996
5700000,22.1644,3.81501,9.6687,-0.00115499
5733333,19.8921,0.0229989,3.38199,0.0511627
5733333,-5.07169,-4.03504,-1.26324,-0.0372269
5733333,22.484,3.76935,9.61108,-0.0196159
5766666,19.9995,0.0386263,3.28958,0.0585999
5766666,-5.07454,-4.03039,-1.08746,-0.0420761
5766666,22.7984,3.78852,9.5171,-0.0128902
5800000,20.0989,-0.0203071,3.2326,0.0118908
5800000,-5.09394,-4.04518,-1.00418,-0.0267014
5800000,23.1154,3.70934,9.51076,-0.0425934
5833333,20.2311,-0.0382585,3.29349,-0.00495341
5833333,-5.10033,-4.06379,-0.946768,-0.00142079
5833333,23.4591,3.68551,9.5863,-0.0489646
5866666,20.327,-0.00172442,3.1446,0.0203563
5866666,-5.09854,-4.04967,-0.758722,-0.0198469
5866666,23.7584,3.73853,9.41153,-0.0281957
5900000,20.4159,0.0310122,3.02537,0.0428571
5900000,-5.10522,-4.03786,-0.62916,-0.0369144
5900000,24.0511,3.78814,9.26907,-0.00891247
5933333,20.5256,0.0359889,2.97046,0.0431101
5933333,-5.07793,-4.04891,-0.456253,-0.0181698
5933333,24.3699,3.78824,9.21741,-0.00985231
5966666,20.6126,0.0406704,2.91763,0.0437489
5966666,-5.07265,-4.04771,-0.380336,-0.0181343
5966666,24.6651,3.79467,9.16326,-0.00717377
6000000,20.6948,0.0353251,2.82262,0.0368392
6000000,-5.07644,-4.03913,-0.294751,-0.0317859
6000000,24.9571,3.78931,9.07363,-0.00981318
6033333,20.7798,0.0408264,2.76327,0.0384758
6033333,-5.07851,-4.02907,-0.229111,-0.047714
6033333,25.2502,3.79975,9.01159,-0.00588398
6066666,20.8624,0.0429664,2.70761,0.0374198
6066666,-5.06226,-4.02697,-0.132372,-0.0496699
6066666,25.5417,3.80086,8.95677,-0.00575513
6100000,20.9217,0.0400843,2.60875,0.0329178
6100000,-5.06868,-4.01646,-0.080628,-0.0699986
6100000,25.8098,3.80181,8.85861,-0.0053237
6133333,20.9859,-0.0189522,2.47912,-0.0184873
6133333,-5.05584,-4.02965,0.052541,-0.0522045
6133333,26.0913,3.71478,8.76787,-0.0411156
6166666,21.0665,-0.0520437,2.39771,-0.0483573
6166666,-5.02296,-4.04054,0.21198,-0.0317871
6166666,26.3856,3.66327,8.70805,-0.0614656
6200000,21.1431,-0.0714461,2.40524,-0.065135
6200000,-5.01554,-4.052,0.226679,-0.0145358
6200000,26.6723,3.64037,8.71987,-0.0667215
6233333,21.2059,-0.0626781,2.35025,-0.0575558
6233333,-5.01214,-4.03864,0.268023,-0.0370333
6233333,26.9419,3.66396,8.65057,-0.0536501
6266666,21.2711,-0.0670151,2.2929,-0.0617015
6266666,-4.99421,-4.04725,0.346774,-0.0215713
6266666,27.2153,3.66216,8.58915,-0.0516564
6300000,21.3374,-0.0698742,2.29457,-0.0637543
6300000,-4.97825,-4.04629,0.369877,-0.0231579
6300000,27.4898,3.66398,8.58497,-0.0469946
6333333,21.4244,-0.0705644,2.36903,-0.0631561
6333333,-4.98177,-4.04055,0.317047,-0.0356906
6333333,27.7848,3.67459,8.65114,-0.0384081
6366666,21.5062,-0.0922714,2.26851,-0.0836632
6366666,-4.92262,-4.04787,0.531796,-0.0159171
6366666,28.0784,3.63686,8.56362,-0.0532676
6400000,21.55,-0.103994,2.12797,-0.0948986
6400000,-4.88289,-4.04548,0.672653,-0.00264469
6400000,28.3318,3.62293,8.42434,-0.0567565
6433333,21.6012,-0.0944609,2.06424,-0.0851332
6433333,-4.84321,-4.04391,0.756338,0.00728827
6433333,28.5896,3.64245,8.34882,-0.0452154
6466666,21.6569,-0.114877,2.01691,-0.103903
6466666,-4.81287,-4.04665,0.814324,0.0222567
6466666,28.8557,3.61602,8.3061,-0.0531598
6500000,21.7062,-0.0796737,1.83336,-0.0698663
6500000,-4.74731,-4.04305,1.04011,0.0675989
6500000,29.1086,3.67161,8.10212,-0.0287421
6533333,21.7557,-0.08774,1.72273,-0.0780162
6533333,-4.69476,-4.03804,1.17417,0.110755
6533333,29.3675,3.65912,7.99401,-0.0330497
6566666,21.8097,-0.0912362,1.73103,-0.0804242
6566666,-4.64963,-4.02773,1.19068,0.129048
6566666,29.6302,3.65785,8.00016,-0.0307757
6600000,21.8438,-0.0897965,1.60425,-0.0795054
6600000,-4.58539,-4.02059,1.33292,0.150931
6600000,29.8723,3.6586,7.87125,-0.0292467
6633333,21.9038,-0.0786281,1.5674,-0.0666554
6633333,-4.51508,-4.01296,1.44073,0.156513
6633333,30.1393,3.6755,7.82864,-0.020583
6666666,21.9453,-0.0488681,1.51286,-0.0346521
6666666,-4.44064,-4.00633,1.5339,0.14953
6666666,30.3852,3.72304,7.75978,0.00120833
6700000,21.9979,-0.0290756,1.5037,-0.0124928
6700000,-4.38444,-3.99292,1.55472,0.170021
6700000,30.6436,3.75734,7.74191,0.0164279
6733333,22.0482,-0.0632336,1.46167,-0.0499418
6733333,-4.28055,-3.99691,1.71164,0.120707
6733333,30.908,3.68667,7.71907,-0.0150662
