Time, ground truth x, ground truth y, ground truth v, ground truth yaw 
5500000,-4.79667,-4,-1.3,0
5500000,20.5701,3.8413,9.76667,-0.0083335
5533333,19.328,0.000123971,3.45001,7.45058e-09
5533333,-4.84001,-4,-1.2,0
5533333,20.8957,3.83858,9.7,-0.0083335
5566666,19.443,0.000123972,3.38335,7.45058e-09
5566666,-4.88001,-4,-1.1,0
5566666,21.219,3.83589,9.63334,-0.0083335
5600000,19.5558,0.000123973,3.31668,7.45058e-09
5600000,-4.91667,-4,-1,0
5600000,21.5401,3.83321,9.56667,-0.0083335
5633333,19.6663,0.000123973,3.25001,7.45058e-09
5633333,-4.95001,-4,-0.900004,0
5633333,21.859,3.83056,9.5,-0.0083335
5666666,19.7746,0.000123974,3.18335,7.45058e-09
5666666,-4.98001,-4,-0.800004,0
5666666,22.1756,3.82792,9.43334,-0.0083335
5700000,19.8808,0.000123975,3.11668,7.45058e-09
5700000,-5.00667,-4,-0.700004,0
5700000,22.49,3.8253,9.36667,-0.0083335
5733333,19.9847,0.000123976,3.05001,7.45058e-09
5733333,-5.03001,-4,-0.600003,0
5733333,22.8023,3.8227,9.3,-0.0083335
5766666,20.0863,0.000123977,2.98335,7.45058e-09
5766666,-5.05001,-4,-0.500003,0
5766666,23.1122,3.82011,9.23334,-0.0083335
5800000,20.1858,0.000123977,2.91668,7.45058e-09
5800000,-5.06667,-4,-0.400003,0
5800000,23.42,3.81755,9.16667,-0.0083335
5833333,20.283,0.000123978,2.85001,7.45058e-09
5833333,-5.08001,-4,-0.300003,0
5833333,23.7256,3.815,9.1,-0.0083335
5866666,20.378,0.000123979,2.78335,7.45058e-09
5866666,-5.09001,-4,-0.200003,0
5866666,24.0289,3.81247,9.03334,-0.0083335
5900000,20.4708,0.000123979,2.71668,7.45058e-09
5900000,-5.09667,-4,-0.100003,0
5900000,24.33,3.80996,8.96667,-0.0083335
5933333,20.5613,0.00012398,2.65001,7.45058e-09
5933333,-5.10001,-4,-3.38256e-06,0
