Time, Lidar NIS, Radar NIS 
7566666,2.90871,3.11948
7566666,0.838613,1.18826
7600000,0.0412268,9.02295
7600000,1.6264,6.51773
7600000,0.51614,6.48075
7633333,1.2214,9.48932
7633333,1.78851,6.31519
7633333,0.422623,5.77584
7666666,3.0055,1.94929
7666666,1.34778,3.09263
7666666,4.74269,2.05181
7700000,0.76919,3.04503
7700000,3.40031,3.60292
7700000,1.24486,3.33218
7733333,1.66734,1.20829
7733333,2.94043,1.1842
7733333,2.07041,1.13325
7766666,3.95916,3.87809
7766666,4.71364,3.49166
7766666,3.21287,2.97145
7800000,2.03922,3.80455
7800000,6.96501,1.20844
7800000,2.41063,1.33602
7833333,2.13347,10.6599
7833333,5.7157,3.09472
7833333,2.7277,5.32208
7866666,4.79033,3.52988
7866666,3.41444,4.1661
7866666,4.03518,4.1999
7900000,0.358507,6.38941
7900000,0.602434,0.786963
7900000,0.623159,2.63379
7933333,2.51476,4.01444
7933333,7.91637,4.70634
7933333,1.94121,2.25396
7966666,2.74949,13.823
7966666,0.920847,3.4375
7966666,2.34439,7.56805
8000000,2.48029,1.16309
8000000,4.70921,11.6606
8000000,3.8122,3.79047
8033333,2.46531,3.79441
8033333,6.54933,4.82045
8033333,1.75662,1.76967
8066666,0.90678,0.650364
8066666,2.89591,3.39031
8066666,0.264269,1.88882
8100000,0.694442,3.61028
8100000,1.00396,11.6581
8100000,1.48337,7.1562
8133333,3.1236,2.64703
8133333,2.1148,3.87899
8133333,4.09144,2.01241
8166666,4.46636,9.10332
8166666,4.43609,3.0901
8166666,5.30478,5.23202
8200000,0.0639245,2.01434
8200000,0.226913,3.27689
8200000,0.0620671,1.67525
8233333,1.66427,4.80881
8233333,2.26316,11.2596
8233333,1.84117,8.79908
8266666,5.35985,1.59016
8266666,5.16286,2.43046
8266666,5.27796,2.53945
8300000,1.7145,9.29998
8300000,0.773843,5.09195
8300000,1.39602,6.25242
8333333,2.91081,1.38372
8333333,4.57532,1.35365
8333333,3.12171,0.906308
8366666,0.65721,1.28153
8366666,1.33452,0.243803
8366666,0.701668,0.269784
8400000,2.32027,2.43514
8400000,3.57328,0.736443
8400000,2.79781,0.486795
8433333,3.58508,9.48718
8433333,3.40433,7.26992
8433333,3.89043,7.87413
8466666,0.192209,4.37674
8466666,0.909959,3.62675
8466666,0.354047,3.07643
8500000,1.03303,0.644675
8500000,1.28499,0.155213
8500000,1.18784,0.0944108
8533333,6.42077,4.19772
8533333,4.09829,1.7805
8533333,5.82682,1.40334
8566666,0.891157,8.9675
8566666,1.44323,5.84018
8566666,0.959174,7.69624
8600000,0.984368,4.0816
8600000,0.890262,1.91391
8600000,0.747638,1.40711
8633333,0.948403,3.07209
8633333,1.78077,1.53462
8633333,0.859729,2.28359
8666666,3.94456,3.00481
8666666,4.67786,3.24883
8666666,3.24613,4.40971
8700000,1.62411,0.869247
8700000,4.16027,0.190916
8700000,1.6709,0.349664
8733333,1.70241,4.1483
8733333,1.39583,4.88942
8733333,1.16614,5.40789
8766666,4.51023,0.183162
8766666,4.79454,0.436943
8766666,5.66184,0.407728
8800000,2.50899,1.2954
8800000,0.701757,1.21193
8800000,2.46044,1.90755
8833333,2.77213,4.10903
8833333,1.13149,2.31647
8833333,2.34498,1.4949
8866666,2.04137,0.789476
8866666,0.96176,1.57802
8866666,1.62914,1.9828
8900000,6.78489,6.93697
8900000,5.21832,3.38611
8900000,6.98938,3.01421
8933333,1.63197,2.95195
8933333,3.13556,1.79312
8933333,1.86186,1.18866
8966666,6.43495,9.07507
8966666,7.70123,4.15914
8966666,6.30432,3.98941
9000000,2.37398,6.44607
9000000,1.59669,2.86173
9000000,2.37281,3.3718
9033333,1.85328,6.494
9033333,1.9794,6.36243
9033333,1.63064,7.79
9066666,0.52247,0.0537719
9066666,0.159397,0.890913
9066666,0.336367,0.796632
9100000,0.804832,5.87388
9100000,0.197521,2.14557
9100000,0.77252,2.69229
9133333,0.27585,2.56497
9133333,0.377199,1.39109
9133333,0.161908,1.08124
9166666,3.46972,4.01513
9166666,2.29182,1.43571
9166666,3.25092,0.95182
9200000,5.85143,0.456821
9200000,7.09237,1.44069
9200000,6.23092,1.74059
9233333,1.99334,7.58422
9233333,1.5164,3.28746
9233333,1.6437,3.93882
9266666,0.599692,2.18657
9266666,1.03476,1.42512
9266666,0.562527,1.13449
9300000,0.18519,4.33349
9300000,0.274217,3.87508
9300000,0.144434,4.4144
9333333,4.11212,2.79284
9333333,2.86077,4.68195
9333333,3.7802,3.85699
9366666,0.254541,0.856181
9366666,0.434345,0.0863048
9366666,0.36172,0.18153
9400000,1.19169,2.03504
9400000,1.7119,1.04778
9400000,1.46586,1.06302
9433333,1.20229,3.61545
9433333,1.41589,2.08222
9433333,1.24679,1.76619
9466666,0.436891,4.87456
9466666,0.19916,2.80609
9466666,0.380097,3.10527
9500000,1.63179,0.60995
9500000,1.70338,0.79862
9500000,1.42116,0.593314
9533333,4.04597,1.56836
9533333,3.56932,2.98548
9533333,4.22483,3.04398
9566666,0.331623,1.78735
9566666,0.604681,1.17719
9566666,0.519545,1.06731
9600000,0.0940336,5.44979
9600000,0.0179877,3.93588
9600000,0.0373017,3.91238
9633333,1.06638,1.88327
9633333,0.84262,0.436988
9633333,0.760248,0.432616
9666666,0.431079,2.42954
9666666,0.543892,3.86854
9666666,0.692675,3.75245
9700000,0.399629,3.08169
9700000,0.639988,2.25785
9700000,0.554998,2.26535
9733333,0.475256,3.95593
9733333,0.761493,1.64849
9733333,0.563342,1.64019
9766666,1.84644,6.79667
9766666,1.98689,2.91156
9766666,2.35635,2.93716
9800000,0.434698,0.825769
9800000,0.739053,0.177516
9800000,0.610669,0.177666
9833333,0.115326,0.935536
9833333,0.381436,1.33396
9833333,0.0864033,1.33948
9866666,3.68331,2.0654
9866666,4.54368,0.454235
9866666,4.08885,0.389061
9900000,0.0211876,2.99962
9900000,0.0291607,1.21562
9900000,0.0608593,1.15383
9933333,1.62824,8.33055
9933333,1.83416,8.67568
9933333,2.0608,8.57559
9966666,0.794909,8.63657
9966666,1.27875,3.8934
9966666,0.776597,3.74372
